"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 19 19:38:15 CET 2022","Sat Mar 19 19:38:15 CET 2022","451","","com.UserRegisterTest","","com.UserRegisterTest","signIn","вход по кнопке «Войти в аккаунт» на главной",""
"passed","Sat Mar 19 19:38:16 CET 2022","Sat Mar 19 19:38:16 CET 2022","600","","com.UserRegisterTest","","com.UserRegisterTest","signInInAuthForm","вход через кнопку в форме регистрации",""
"passed","Sat Mar 19 19:38:15 CET 2022","Sat Mar 19 19:38:16 CET 2022","567","","com.UserRegisterTest","","com.UserRegisterTest","signInWithinResetPassword","вход через кнопку в форме восстановления пароля",""
"passed","Sat Mar 19 19:38:01 CET 2022","Sat Mar 19 19:38:07 CET 2022","6654","","com.ChooseSectionTest","","com.ChooseSectionTest","checkSwitchSection","Переход к разделам в конструкторе",""
"passed","Sat Mar 19 19:38:12 CET 2022","Sat Mar 19 19:38:15 CET 2022","2577","","com.UserRegisterTest","","com.UserRegisterTest","registerUser","Успешная регистрация пользователя",""
"passed","Sat Mar 19 19:38:11 CET 2022","Sat Mar 19 19:38:12 CET 2022","1052","","com.UserRegisterFailedTest","","com.UserRegisterFailedTest","registerUser","Получить ошибку регистрации пользователя с паролем короче 6 символов",""
"passed","Sat Mar 19 19:38:07 CET 2022","Sat Mar 19 19:38:11 CET 2022","3524","","com.SwitchFromProfileTest","","com.SwitchFromProfileTest","switchFromProfile","Переход из личного кабинета в конструктор",""
